Business id,Stars,Service,Cleanliness,Authenticity,Value for money
x5vSE0-NO_YSZtOnitLWuQ,3,73,91,57,29
rt-EKmn8xpUuWdePYPPcHQ,2,55,20,68,56
KcbFFh7xfBLl2YeXQRhUNg,5,92,90,82,81
wHeG9RYU3_k3wlCgkLGDRA,3,82,59,87,54
XvTBQotmJpVPjPNaMM7qLA,5,82,94,87,84
x2nALssJGy_6p74ddxx3GQ,3,37,95,89,23
TRJHqPTKFFFglV0OGXS3Ig,2,33,72,41,43
oaOT2G5mIE8yOPZ55RM4cA,3,73,93,15,20
AJ8DDFm6QaihAPZI3wFBHw,2,62,41,47,15
sKWZ_tAOVMZoC4Qk8_Bd4A,4,85,90,83,90
UY13CTgUqriT-fMxT2APLw,3,43,83,55,92
p4GMQauk2iqZnN6cj81s3g,2,48,74,46,37
4Iak803d4fyY358jSMRasg,4,91,87,82,93
DTvcpHf2gGKgSujUVXA7sA,3,66,43,27,24
9MJDPVeLqAWLqdWF4Heqvg,3,70,43,94,17
QYIhMNwxXejDoCr-F1BxDg,4,83,87,92,81
Wnq5to0-jXyh0-_jRZ6VOQ,4,88,89,82,84
-cBQKodqi77Q0vk-9iDvQA,5,79,91,92,92
yVLbAdSQQURBNWsJIxzmfw,2,71,56,34,36
qBMQUR66_7pmld8NmGxVFg,5,80,88,92,89
IUTU_8qM7M8j9A1TbmMjYA,3,44,93,53,70
8F-CalsRSKiPjjsx8ql8Lg,2,22,62,18,47
qgAZPDQStZP_Y5XTiQ6UqA,5,95,91,89,84
P6c0lV9DeJ6ofntpTWyqhA,3,44,80,43,59
21fK0m8sQFbRQv3RlskE2w,4,87,86,85,86
XfNDmxQiG5nZVZe-JY10NA,4,94,85,84,83
6Z3lZEEIKv6opbyavmnGbA,4,80,89,89,77
ndQTAJzhhkrl1i5ToEGSZw,5,84,95,91,92
HlkjT-4MXW_efuEydjrR1A,5,77,90,81,91
YMZy_nGxtJtuQvflM6Ltww,3,17,73,56,94
2rLuOMi6Q6zzqUU8ltreSA,5,77,86,87,84
JzOp695tclcNCNMuBl7oxA,4,85,89,88,79
0TBTV3q6QXCn9vNhy3Xi2w,4,88,93,84,81
Hr5h_LG9TMBLlFz_Oici0A,4,85,90,86,86
sZf_KrF9ZLC7z4jiLGgVOw,4,82,90,85,83
ZHQU79PMUGCX0fEoyCcWlw,1,52,19,29,41
0U-1Wkl7y-wv39qM6WKL_w,4,87,91,80,94
RyJIi1IP0UQ5qGbwazgsIA,5,86,92,86,92
-yXkMzPPQ2PvzIC-NrH-Sg,3,47,25,61,64
GIhzzb9tjqLCYdNP_k3-dQ,3,74,91,82,64
vKgsXz3W4BIquVcgJs19sQ,5,77,92,94,92
zJCbSgXWFWwvKiIRFFuiTA,3,28,71,26,80
iikAHVLZrZn7Zy1aEPD25A,3,29,40,46,44
5jxn3_C5rjBow-aiBqcQNg,1,29,33,41,29
QBLl3bVLWZB4-jS-O_MKug,4,81,87,95,84
6a-EXpakLH9tLtv8SDWdWQ,4,82,91,89,86
T1tvWywCdTv8YiK-r_roLw,5,87,90,90,80
NmbBDuALeotUv01k7Qqr7g,3,21,79,66,60
Xwf022IffmZPq6V25iomDg,5,94,95,93,88
Se9dkAqNfBoOoAbKT0LEsg,1,25,18,33,42
P1Ks4okkg58xKTXLjGp4iQ,2,73,24,74,55
9R8Ia-EwSBJR5CUHN1K9yw,4,81,95,91,93
uO81UPtXJK9L0s1rOkwMjQ,2,57,22,40,63
BYQXVyuarIvLi32JzMLSVg,3,26,44,90,19
y45zdBlXT0Mr0gEfYOzXlw,5,78,90,89,94
DPZBuTuL7w5MVxsCEyQudQ,1,15,21,51,38
edVhUxTKz4nn5-qF7Ix_7g,4,77,88,89,79
O6obMXRKCnLMygvm2fSp0w,1,18,33,25,16
tkSk6jdenjbYEcqSchFR7g,3,95,19,22,72
pApEPv1-ApXee4GYYMB5AQ,5,76,87,81,89
SqL19z7A7LB91RkWWwWvnQ,4,81,89,83,78
TohJiJOsB7XwRyenaQel6w,2,39,69,47,58
g5l4vrFN03ob_zDDztDDjA,1,21,55,21,26
u4TVM_6Ya1FBRszxcBROWA,5,86,93,82,87
tWiFat101ID5w_wgAPMXhA,4,87,95,82,80
